year,round,raceName,circuitId,date
2019,1,Australian Grand Prix,albert_park,2019-03-17
2019,2,Bahrain Grand Prix,bahrain,2019-03-31
2019,3,Chinese Grand Prix,shanghai,2019-04-14
2019,4,Azerbaijan Grand Prix,baku,2019-04-28
2019,5,Spanish Grand Prix,catalunya,2019-05-12
2019,6,Monaco Grand Prix,monaco,2019-05-26
2019,7,Canadian Grand Prix,villeneuve,2019-06-09
2019,8,French Grand Prix,ricard,2019-06-23
2019,9,Austrian Grand Prix,red_bull_ring,2019-06-30
2019,10,British Grand Prix,silverstone,2019-07-14
2019,11,German Grand Prix,hockenheimring,2019-07-28
2019,12,Hungarian Grand Prix,hungaroring,2019-08-04
2019,13,Belgian Grand Prix,spa,2019-09-01
2019,14,Italian Grand Prix,monza,2019-09-08
2019,15,Singapore Grand Prix,marina_bay,2019-09-22
2019,16,Russian Grand Prix,sochi,2019-09-29
2019,17,Japanese Grand Prix,suzuka,2019-10-13
2019,18,Mexican Grand Prix,rodriguez,2019-10-27
2019,19,United States Grand Prix,americas,2019-11-03
2019,20,Brazilian Grand Prix,interlagos,2019-11-17
2019,21,Abu Dhabi Grand Prix,yas_marina,2019-12-01
2020,1,Austrian Grand Prix,red_bull_ring,2020-07-05
2020,2,Styrian Grand Prix,red_bull_ring,2020-07-12
2020,3,Hungarian Grand Prix,hungaroring,2020-07-19
2020,4,British Grand Prix,silverstone,2020-08-02
2020,5,70th Anniversary Grand Prix,silverstone,2020-08-09
2020,6,Spanish Grand Prix,catalunya,2020-08-16
2020,7,Belgian Grand Prix,spa,2020-08-30
2020,8,Italian Grand Prix,monza,2020-09-06
2020,9,Tuscan Grand Prix,mugello,2020-09-13
2020,10,Russian Grand Prix,sochi,2020-09-27
2020,11,Eifel Grand Prix,nurburgring,2020-10-11
2020,12,Portuguese Grand Prix,portimao,2020-10-25
2020,13,Emilia Romagna Grand Prix,imola,2020-11-01
2020,14,Turkish Grand Prix,istanbul,2020-11-15
2020,15,Bahrain Grand Prix,bahrain,2020-11-29
2020,16,Sakhir Grand Prix,bahrain,2020-12-06
2020,17,Abu Dhabi Grand Prix,yas_marina,2020-12-13
2021,1,Bahrain Grand Prix,bahrain,2021-03-28
2021,2,Emilia Romagna Grand Prix,imola,2021-04-18
2021,3,Portuguese Grand Prix,portimao,2021-05-02
2021,4,Spanish Grand Prix,catalunya,2021-05-09
2021,5,Monaco Grand Prix,monaco,2021-05-23
2021,6,Azerbaijan Grand Prix,baku,2021-06-06
2021,7,French Grand Prix,ricard,2021-06-20
2021,8,Styrian Grand Prix,red_bull_ring,2021-06-27
2021,9,Austrian Grand Prix,red_bull_ring,2021-07-04
2021,10,British Grand Prix,silverstone,2021-07-18
2021,11,Hungarian Grand Prix,hungaroring,2021-08-01
2021,12,Belgian Grand Prix,spa,2021-08-29
2021,13,Dutch Grand Prix,zandvoort,2021-09-05
2021,14,Italian Grand Prix,monza,2021-09-12
2021,15,Russian Grand Prix,sochi,2021-09-26
2021,16,Turkish Grand Prix,istanbul,2021-10-10
2021,17,United States Grand Prix,americas,2021-10-24
2021,18,Mexico City Grand Prix,rodriguez,2021-11-07
2021,19,São Paulo Grand Prix,interlagos,2021-11-14
2021,20,Qatar Grand Prix,losail,2021-11-21
2021,21,Saudi Arabian Grand Prix,jeddah,2021-12-05
2021,22,Abu Dhabi Grand Prix,yas_marina,2021-12-12
2022,1,Bahrain Grand Prix,bahrain,2022-03-20
2022,2,Saudi Arabian Grand Prix,jeddah,2022-03-27
2022,3,Australian Grand Prix,albert_park,2022-04-10
2022,4,Emilia Romagna Grand Prix,imola,2022-04-24
2022,5,Miami Grand Prix,miami,2022-05-08
2022,6,Spanish Grand Prix,catalunya,2022-05-22
2022,7,Monaco Grand Prix,monaco,2022-05-29
2022,8,Azerbaijan Grand Prix,baku,2022-06-12
2022,9,Canadian Grand Prix,villeneuve,2022-06-19
2022,10,British Grand Prix,silverstone,2022-07-03
2022,11,Austrian Grand Prix,red_bull_ring,2022-07-10
2022,12,French Grand Prix,ricard,2022-07-24
2022,13,Hungarian Grand Prix,hungaroring,2022-07-31
2022,14,Belgian Grand Prix,spa,2022-08-28
2022,15,Dutch Grand Prix,zandvoort,2022-09-04
2022,16,Italian Grand Prix,monza,2022-09-11
2022,17,Singapore Grand Prix,marina_bay,2022-10-02
2022,18,Japanese Grand Prix,suzuka,2022-10-09
2022,19,United States Grand Prix,americas,2022-10-23
2022,20,Mexico City Grand Prix,rodriguez,2022-10-30
2022,21,São Paulo Grand Prix,interlagos,2022-11-13
2022,22,Abu Dhabi Grand Prix,yas_marina,2022-11-20
2023,1,Bahrain Grand Prix,bahrain,2023-03-05
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19
2023,3,Australian Grand Prix,albert_park,2023-04-02
2023,4,Azerbaijan Grand Prix,baku,2023-04-30
2023,5,Miami Grand Prix,miami,2023-05-07
2023,6,Monaco Grand Prix,monaco,2023-05-28
2023,7,Spanish Grand Prix,catalunya,2023-06-04
2023,8,Canadian Grand Prix,villeneuve,2023-06-18
2023,9,Austrian Grand Prix,red_bull_ring,2023-07-02
2023,10,British Grand Prix,silverstone,2023-07-09
